Title,Author,Genre,Summary,SentenceCount,WordCount
বঙ্গবন্ধু এবং বাংলাদেশ ,নিমাই চন্দ্র চক্রবর্তী ,Biography and Autobiography,"“বঙ্গবন্ধু এবং বাংলাদেশ"" বইটির সূচিপত্র: বঙ্গবন্ধুর রাজনৈতিক জীবন ১১  ৭ মার্চের ভাষণ : বাঙালির চেতনা ১৮ আমাদের বঙ্গবন্ধু ও স্বাধীনতা ২২ বাংলাদেশের স্বাধীনতা ও বঙ্গবন্ধু ২৭  বিজয় দিবসের তাৎপর্য ও যুদ্ধাপরাধীদের বিচার ৩৪ আমাদের স্বাধীনতা ও ভিশন ২০২১ ৪০  ১৫ আগস্ট : এক শােকাবহ স্মৃতি ৪৬  ১৫ আগস্ট কি শুধুই মুজিব হত্যা? ৫৫ বঙ্গবন্ধুর স্বাধীনতা ঘােষণা : মহামান্য হাইকোর্টের ঐতিহাসিক রায় ৬২  বাঙালির পিতা, বিশ্বের নেতা মুজিব ৬৮  জাতীয় শােক দিবসের গুরুত্ব ও তাৎপর্য ৭৫ মুক্তিযুদ্ধে বিশ্বের ভূমিকা ৮১  বাংলাদেশের উপন্যাসে মুক্তিযুদ্ধ ৮৯ বাংলা সাহিত্যে মুক্তিযুদ্ধ ৯৭  মুক্তিযুদ্ধের কবিতা ও গান ১০৩ একুশের কবিতা ও গান ১১৭  আন্তর্জাতিক মাতৃভাষা দিবস ও বাঙালির ত্যাগ ১৩০ বীরাঙ্গনাদের কথা ১৩৭  মুক্তিযুদ্ধে প্রবাসী বাঙালি ১৪৪  মুক্তিযুদ্ধে নারীর অবদান ১৫১  বাংলা ভাষা ও বঙ্গবন্ধু ১৫৬",2,117
জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান : জন্মশতবর্ষ স্মারকগ্রন্থ ,শেখ হাসিনা (সম্পাদক) ,Biography and Autobiography,"বাঙালি জাতির জীবনে একটি মহিমান্বিত দিন ১৭ই মার্চ ২০২০। সর্বকালের সর্বশ্রেষ্ঠ বাঙালি এবং বাঙালি জাতিরাষ্ট্রের প্রতিষ্ঠাতা জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানের জন্মশতবার্ষিকী। বাঙালি জাতির মুক্তির জন্য, স্বাধীনতার জন্য একটি উন্নত, সমৃদ্ধ, শােষণ-বঞ্চনামুক্ত অসাম্প্রদায়িক আধুনিক রাষ্ট্র প্রতিষ্ঠার জন্য তিনি সমগ্র জীবন উৎসর্গ করেছেন। জাতির পিতার জন্মশতবর্ষে তাঁর অসামান্য অবদান স্মরণীয় করে রাখতে দেশ ও দেশের বাইরে বিপুল কর্মযজ্ঞ পরিচালনার জন্য ১১৯ সদস্যবিশিষ্ট জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানের জন্মশতবার্ষিকী উদযাপন জাতীয় কমিটি এবং ৮০ সদস্যবিশিষ্ট জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানের জন্মশতবার্ষিকী উদযাপন জাতীয় বাস্তবায়ন কমিটি’ নামে দুটি কমিটি গঠন করা হয়। জাতীয় কমিটির পরামর্শ ও নির্দেশনা মােতাবেক বাস্তবায়ন কমিটি জন্মশতবর্ষে জাতির পিতার বর্ণাঢ্য রাজনৈতিক জীবন এবং তাঁর আদর্শ, মূল্যবােধ ও কর্মের জগৎকে বর্তমান ও অনাগত প্রজন্মের কাছে বস্তুনিষ্ঠভাবে তুলে ধরতে তথ্যসমৃদ্ধ একটি স্মারকগ্রন্থ প্রকাশের উদ্যোগ গ্রহণ করে। এই উদ্যোগ নিঃসন্দেহে তাৎপর্যপূর্ণ।  আশা করি স্মারকগ্রন্থটি একদিকে বঙ্গবন্ধু শেখ মুজিবুর রহমানের অনন্য রাজনৈতিক জীবন এবং কর্ম নিয়ে আগ্রহী ও কৌতূহলী পাঠককে খুশি করবে এবং অন্যদিকে যারা বঙ্গবন্ধু শেখ মুজিবের রাজনৈতিক জীবন, দর্শন ও আদর্শ নিয়ে গবেষণা করবেন কিংবা বাংলাদেশের অভ্যুদয় ও স্বাধীনতা সংগ্রাম নিয়ে চর্চা করবেন তাদের জন্যও গুরুত্বপূর্ণ দলিল হিসেবে ভূমিকা রাখবে। ",7,183
বঙ্গবন্ধু শেখ মুজিব বিপ্লবী ভাষণ ,আহমদ মুসা ,Biography and Autobiography,"বঙ্গবন্ধু শেখ মুজিবুর রহমান শুধু হাজার বছরের শ্রেষ্ঠ বাঙালিই নন, তিনি বাঙালির অবিসংবাদিত নেতা। রাজনীতির মঞ্চে এসে এ মহানায়ক রাজনীতিবিদ থেকে হয়ে উঠেছিলেন ‘বাঙালির মুক্তি সংগ্রামের প্রতীক’। শেখ মুজিবুর রহমান ছিলেন বাঙালি জাতীয়তাবাদের স্রষ্টা। তার দীর্ঘদিনের নেতৃত্বেই বাঙালি জাতি অনুপ্রাণিত ও ঐক্যবদ্ধ হয়ে ঔপনিবেশিক শাসন, শোষণ তথা পাকিস্তানি আধিপত্যবাদ ও সাম্প্রদায়িকতার নাগপাশ থেকে মুক্ত করেছে আমাদের স্বদেশ ভূমিকে। বঙ্গবন্ধু শেখ মুজিবুর রহমান তার রাজনৈতিক জীবনে অসংখ্য বক্তব্য দিয়েছেন। তার ব্যক্তিত্বের প্রবলতা আর জলদগম্ভীর কণ্ঠস্বর যেকোনো মানুষকে সহজেই আকৃষ্ট ও মোহাবিষ্ট করে ফেলত। তার বিস্ময়কর মাদকতায় ভরা বিস্ফোরক শব্দাবলির শিল্পিত অনুরণন ওজস্বিতা, আবেগ, যুক্তি আর তাঁর বলার ধরনের আকর্ষণীয় হৃদ্যতায় বক্তৃতা হয়ে উঠত জনচিত্তহারী এক নিপুণ শিল্প। বঙ্গবন্ধুর অনলবর্ষী বক্তৃতাগুলো থেকে বাছাইকৃত কিছু বক্তৃতা নিয়েই বই ‘বঙ্গবন্ধু শেখ মুজিব, বিপ্লবী ভাষণ’।",8,120
বঙ্গবন্ধু মুক্তিযুদ্ধ ও বাংলাদেশ ,তোফায়েল আহমেদ ,Biography and Autobiography,"“বঙ্গবন্ধু মুক্তিযুদ্ধ ও বাংলাদেশ” বইয়ের ফ্ল্যাপের লেখা: “বঙ্গবন্ধু মুক্তিযুদ্ধ ও বাংলাদেশ” শীর্ষক বইটিতে লেখক তােফায়েল আহমেদ বাংলাদেশের স্বাধীনতা সংগ্রামে তার প্রত্যক্ষ এবং রাজনৈতিক নেতৃত্বই নয়, বাংলাদেশের স্বাধীনতা যুদ্ধের ট্রাজেডি আর মানবিক বিপর্যয়কে তার লেখনীর মাধ্যমে উপস্থাপন করেছেন। বাংলাদেশের মুক্তিযুদ্ধকে যারা ভালােভাবে জানতে চায় তাদের জন্য এই বইটি অবশ্যই পাঠ্য। পাকিস্তানের বৈষম্যের বিরুদ্ধে নিরস্ত্র বাঙ্গালির সশস্ত্র জাতিতে পরিণত হওয়ার ঘটনাবলী গ্রন্থটিতে যথাযথভাবে স্থান পেয়েছে। বাংলাদেশের জন্ম মুক্তিযুদ্ধ ও জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানের অবদানকে তুলে ধরা হয়েছে।",4,77
বেঙ্গল প্যাক্ট থেকে বঙ্গবন্ধুর ৭ই মার্চের ভাষণ : বাংলাদেশের মুক্তিসংগ্রামের কয়েকটি গুরুত্বপূর্ণ দলিল ,আফজালুল বাসার ,Biography and Autobiography,"১৯২৩ সন থেকে ১৯৭১ সন পর্যন্ত প্রায়। অর্ধশতাব্দীকালে সবচেয়ে গুরুত্বপূর্ণ, জনপ্রিয়। এবং ক্ষমতাধারী ব্যক্তিগণ, নেতৃবৃন্দ ও দলগুলির। মাধ্যমে যে সব রাজনৈতিক প্রস্তাবনা উত্থাপন। করা হয়েছিল এবং যে সব রাজনৈতিক প্রস্তাবনার। উপর ভিত্তি করে বাঙালি জেগে উঠেছিল সেসব। বিষয়ের একটি সংক্ষিপ্ত আলােচনা এই গ্রন্থে। উপস্থাপন করা হয়েছে। মূল লক্ষ্য তরুণ প্রজন্মকে। সে বিষয়গুলির সাথে পরিচয় করানাে। এই আলােচনার সুবাদে পঞ্চাশের ও ষাটের দশকে বাঙালির বিভিন্ন রাজনৈতিক কর্মসূচির সারমর্ম। উদ্ধার করার চেষ্টা করেছি। আমরা জানি ষাটের দশক বাঙালি জাতির সােনালি দশক। আজকের। বাংলাদেশে তরুণদের জন্য গুরুত্বপূর্ণ প্রশ্ন হলাে। তাদের মঞ্চ অরাজনৈতিক হতে পারে না। সেই। সাথে তাদের আর একটি প্রশ্ন হলাে, তারা। অবশ্যই জানেন, বাঙালি স্বাধীনতা এনেছে। বাংলাদেশের এবং বাঙালির একটি সামাজিক। ন্যায় এবং সমৃদ্ধিপূর্ণ সমাজব্যবস্থার জন্য। সে সমাজ হতে পারে জাতীয় এবং সমাজতান্ত্রিক। তবে এটা স্মরণ করা যেতে পারে যে, পঞ্চাশের ও। ষাটের দশকে আওয়ামী লীগ ও ন্যাশনাল। আওয়ামী পার্টি এবং সংগ্রামী ছাত্রসমাজ। সমাজতান্ত্রিক রাজনৈতিক কর্মসূচী দেয়নি, তেমন। কোনাে দল এগুলি ছিল না এবং তেমন দল না। হওয়ার পরিপ্রেক্ষিতে তেমন কোনাে কর্মসূচী। সফল করা তাদের পক্ষে সম্ভব হয়নি। তবে, পঞ্চাশের ও ষাটের দশকে বাঙালির মধ্যে। সমাজতন্ত্রের জন্য তা ছিল যাকে মূলধন করে। রাজনৈতিক উত্থান ঘটেনি সত্য কিন্তু মুক্তিযুদ্ধের। ভেতরে সে স্বপ্ন একেবারে লালিত হয়নি একথা। হয়তাে বলা যাবে না। আজকে আধুনিক ধনবাদী ",35,201
বঙ্গবন্ধু : শ্রদ্ধায় ভাবনায় স্মৃতিতে ,মতিউর রহমান ,Biography and Autobiography,"বঙ্গবন্ধুর কাছে আমাদের ঋণই শুধু অপরিসীম নয়, জাতি হিসেবে নিজেদের পাঠ করার জন্যও তার কাছে আমাদের ফিরে ফিরে আসতে হবে। তার স্মৃতি আমাদের ইতিহাসের সম্পদ, তার পর্যালোচনা আমাদের আত্মনুসন্ধানের পথ। তার স্মরণ ও মূল্যায়ন শুধু অতীতকে বোঝার তাগিদেই নয়, সামনের পথরেখা খুজে পাওয়ার জন্যও। বঙ্গবন্ধুর পর্যালোচনার মধ্য এ বই আমাদের নিজেদেরও আত্মবীক্ষণ।",4,52
ছোটদের বঙ্গবন্ধু ,মোয়াজ্জেম হোসেন আলমগীর ,Biography and Autobiography,"বিশে^ আজ আমরা একটি স্বাধীন জাতি। স্বাধীনতার ৫০ বছর পরও আজকের প্রজন্ম আমাদের সেই উত্তাল দিনগুলো সম্পর্কে অনেক কিছুই জানে না। বঙ্গবন্ধুর জীবন, কর্ম, আদর্শ ও রাজনীতি সম্পর্কে অনেকটা অজ্ঞাত। স্বাধীনোত্তর বাংলাদেশে স্বাধীনতা বিরোধী ও পাকিস্তানের দোসররাও অনেকবার ক্ষমতাসীন হয়েছে। অনেক রাজাকার মন্ত্রীও হয়েছে। ফলে জাতি এবং এ প্রজন্মকে বার বার মিথ্যা, বিভ্রান্তিকর ও বিকৃত তথ্য দেয়া হয়েছে। আর তাই এ প্রজন্ম এখনো তিমিরেই রয়ে গেছে। এটি আমাদের জন্য আজ অবশ্যই লজ্জার, ঘৃণার এবং মান-হানিকর। এ গ্রন্থে আমাদের জাতির জনক বঙ্গবন্ধু শেখ মুজিবুর রহমানের সুদীর্ঘ রাজনৈতিক জীবনের বর্ণাঢ্য আলেখ্য এবং বাঙালি জাতির জন্য তাঁর অশেষ অবদানের বিষয়গুলো আলোকপাত করা হয়েছে।",9,101
বঙ্গবন্ধু ও মুক্তিসংগ্রাম ,জুলফিকার নিউটন ,Biography and Autobiography,"""বঙ্গবন্ধু ও মুক্তিসংগ্রাম"" বইয়ের ফ্ল্যাপের লেখা: জুলফিকার নিউটনের রচনায় একই সঙ্গে মিশে থাকে। যুক্তিবাদী বিশ্লেষণ, দার্শনিক মনন ও হার্দিক সংবেদন। তাঁর দেখার ধরন স্বতস্ত্র, লেখার ভঙ্গি স্বচ্ছ। গভীর কথাকেও নিতান্ত সহজ করে বলতে পারেন তিনি। তাঁর চিন্তা ঋজু ও যুক্তিপূর্ণ, মতামত দ্বিধাহীন ও অভিজ্ঞতাপুষ্ট। প্রসঙ্গ সাময়িক হলেও জীবনবােধ থেকে উত্সারিত বলে প্রতিটি মতামত অমূল্য। বঙ্গবন্ধু ও মুক্তিসংগ্রাম গ্রন্থে মননের সঙ্গে উপলব্ধি এক অসাধারণ রাসায়নিক সংমিশ্রণে গড়ে উঠেছে এক সম্পূর্ণ জীবনবােধ। সব মিলিয়ে এক ব্যাপক বিশ্বদৃষ্টি ও নিগূঢ় জীবনবােধ। চিন্তার স্পষ্টতায়, ভাষার স্বচ্ছতায়, বিশ্লেষণের ব্যাপকতায়, উপলব্ধির গৃঢ়তায়, প্রত্যয়ের দৃঢ়তায় জুলফিকার নিউটনের প্রবন্ধগুলি আক্ষরিক অর্থেই প্রবন্ধ। তিনি সেই বিরল প্রাবন্ধিকদের একজন যার রচনা পরবর্তীকালের হারায় না প্রাসঙ্গিকতা, যার চিন্তা আমাদের বহু ভাবনাচিন্তার সমস্যা সংকটের জট ছাড়াতে, কর্মপন্থা নির্বাচন করতে সহায়ক। ",10,118
বঙ্গবন্ধু থেকে বিশ্ববন্ধু ,মো. মোরশেদুল আলম ,Biography and Autobiography," স্বাধীন বাংলাদেশের স্থপতি, ইতিহাসের মহানায়ক, হাজার বছরের শ্রেষ্ঠ বাঙালি, জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান শুধু বাঙালির নয়, বিশ্বের ইতিহাসে একজন অন্যতম প্রভাবশালী নেতা ও রাজনৈতিক ব্যক্তিত্ব। কেবল বাংলাদেশ নয়Ñ এশিয়া, আফ্রিকা, লাতিন আমেরিকাসহ বিশ্বের কোটি কোটি মুক্তিকামী মানুষের অনুপ্রেরণার উৎস ছিলেন তিনি। স্বাধীনতা, গণতন্ত্র, সাম্য ও বিশ্বশান্তি প্রতিষ্ঠায় অবিস্মরণীয় ভূমিকার জন্য তিনি সমগ্র বিশ্বে সমাদৃত।  আন্তর্জাতিক অঙ্গনে বাংলাদেশের অবিসংবাদিত নেতা হিসেবে বঙ্গবন্ধুর আসনটি ছিল সুরক্ষিত। পৃথিবীতে যে কয়জন ক্যারিসমেটিক নেতা ছিলেন যেমন আব্রাহাম লিংকন, মার্টিন লুথার কিং, ফিদেল কাস্ত্রো, নেলসন ম্যান্ডেলা- বঙ্গবন্ধু তাঁদের মতো বিশ্বনেতা হিসেবে পরিচিত। বঙ্গবন্ধুর প্রতি বিদেশী রাষ্ট্রনায়কদের শ্রদ্ধা, ভক্তি ও ভালোবাসা ছিল অপরিসীম। তিনি ইতিহাসের সেই মহামানব, সময় যাঁকে সৃষ্টি করেনি, বরং সময়কেই তিনি নিজের করতলে নিয়ে এসেছেন। জাতির পিতা শেখ মুজিবুর রহমানের  ‘বঙ্গবন্ধু থেকে বিশ্ববন্ধু’ হয়ে ওঠার বিবিধ প্রসঙ্গ নিয়ে গ্রন্থটি রচিত হয়েছে।",8,129
চেতনায় বঙ্গবন্ধু এবং মুক্তিযুদ্ধ ,গাজী মিজানুর রহমান ,Biography and Autobiography," ""চেতনায় বঙ্গবন্ধু এবং মুক্তিযুদ্ধ"" বইটির ভূমিকা থেকে নেয়াঃ   প্রত্যেক মানুষের জীবনেই নাকি একটি উপন্যাসের উপাদান থাকে। তবে সেই উপাদানকে রূপদিয়ে থাকেন হাতে গােনা অল্প কয়েকজন। সবাই লিখেন না, অনেকে লিখতে পারেন না। যাঁরা লিখেন তাঁরা সকলেই আবার উপন্যাস লিখেন না। অনেকে কবিতা বা উপন্যাস না লিখে লিখেন আত্মজীবনী। যাতে কখনাে কখনাে লেখক নিজেই উপন্যাসের নায়ক হিসাবে আবির্ভূত হন। সত্য এবং কল্পনার সংমিশ্রণ উপন্যাস এবং আত্মজীবনী উভয় ক্ষেত্রেই করতে পারে। এক ধরনের আত্মকাহিনি যদি উপন্যাসের কাছাকাছি হয়ে থাকে তবে আরেক ধরনের আত্মকথাকে বলা যেতে পারে ইতিহাসের সগােত্র। এ জাতীয় রচনায় ব্যক্তির (লেখকের) আত্মবিকাশের কাহিনি যতটা স্থান পায়, তার চেয়ে বেশি স্থান পায় একটা দেশ এবং কালের বিচিত্র বৈশিষ্ট্য। আর এ জাতীয় গ্রন্থই হলাে মুক্তিযুদ্ধ আমার অহংকার, আমার চেতনা। এই বইতে গাজী মিজানুর রহমান বাংলাদেশের মুক্তিযুদ্ধের কথা বলেছেন। এদেশের বীর মুক্তিযােদ্ধা এবং সূৰ্য্য সড়ন হিসাবে এ জাতীয় গ্রন্থ লেখার বিশেষ অধিকার তার রয়েছে। তা ছাড়া তিনি ছােটবেলা থেকেই কবিতায় বিকশিত একজন মানুষ। তিনি স্বাধীন বাংলা বেতার কেন্দ্রের সংগঠনের সাথে ঘনিষ্ঠভাবে যুক্ত ছিলেন। স্বাধীন বাংলা বেতার কেন্দ্রের অনুষ্ঠান বিভাগের সচিব জনাব কাজী হাবিব উদ্দিন মণি’র (কাজী হাবিবের) সহকারী হিসাবে কাজ করেছেন। এছাড়াও তিনি বেতার কেন্দ্রের স্বরচিত কবিতা পাঠের আসরে কবিতার লেখক ও পাঠক ছিলেন।  এতসব সুবিধা যেহেতু মুজিবনগর সরকারের প্রশাসনের ভেতরটি দেখার সুযােগ তিনি পেয়েছিলেন, পরবর্তীতে রণাঙ্গনের মুক্তিযােদ্ধা হিসাবে মুক্তিযুদ্ধের প্রক্রিয়াকে ঘনিষ্ঠভাবে জানার সুযােগ পেয়েছিলেন। তিনি যা দেখেছিলেন ও শুনেছিলেন যেসব দলিল প্রাসঙ্গিক তথ্য তার গােচরীভূত হয়েছিল তার সবকিছুই তিনি তার গ্রন্থে স্থান করে দিয়েছেন। বইটি হাতে নিলেই বুঝা যাবে ১৬ ডিসেম্বরের কালসীমায় তিনি সীমাবদ্ধ থাকেননি। তিনি আগরতলা ষড়যন্ত্র মামলা থেকে শুরু করে অসহযােগ আন্দোলনের ঘটনাও উপস্থিত করেছেন পাঠকের জন্য। বইটির মুখবন্ধ পড়লেই বােঝা যাবে যে, স্মৃতিকথা রচনার বা আত্মজীবনী লেখার মতাে এক প্রবল ঝোক তার মনের গভীরে আন্দোলিত হয়েছিল। লেখক সচেতনভাবে যা কিছু উপলব্ধি করেছেন, যা তিনি সত্য বলে জেনেছেন তার সবকিছুই তিনি উত্তরসূরিদের কাছে পৌছে দেওয়ার জোর তাগিদ অনুভব করেছেন। ব্যক্তিগত অভিজ্ঞতা থেকে ঘটনা ও ঘটনার চরিত্র বিশে- ষণ করেছেন, কখনাে বা দলিলপত্রের সহায়তা নিয়েছেন। অন্য লেখকদের স্মৃতিকথার মতাে এখানেও বিষয়ের উপর বস্তুনিষ্ঠ বিচার-বিশে- ষণ আছে।  মনে রাখা আবশ্যক যে, সবক্ষেত্রে লেখকের মতামত ও বক্তব্যের সঙ্গে পাঠকের একমত হওয়ার প্রয়ােজন নেই। তবে এই বই থেকে মুক্তিযুদ্ধের যেসব প্রামাণ্য তথ্যের পরিচয় পাবেন তাতে মুক্তিযুদ্ধের ইতিহাস সম্পর্কে পাঠকের ধারণা অনেকখানি পূর্ণতা পাবে। বাংলাদেশের মুক্তিযুদ্ধ সংশি- ষ্ট অনেকগুলাে চরিত্র আমরা ইতােমধ্যেই হারিয়েছি। শুধু যে তাঁদেরকে হারিয়েছি তাই নয়, দীর্ঘ পরিক্রমায় ঘরে বাইরে এবং সরকারে মুক্তিযােদ্ধাদের নীতি ও আদর্শকে জলাঞ্জলি দেওয়া হয়েছে। মুক্তিযুদ্ধ নিয়ে যে পরিমাণ লেখালেখি করা উচিত ছিল আমরা সে পরিমাণ লেখালেখি করিনি। লেখক অবলিলাক্রমেই সেই অভাব পূরণে অভিন্দনযােগ্য দুঃসাহসিক পদক্ষেপ গ্রহণ করেছেন। এই বই আমাদেরকে অতীত ইতিহাস, ঐতিহ্যের গৌরবময় দিনগুলির কাছে পৌছে দিবে সহসাই। তবে লেখকের দুঃসাহস এখানে যে, তিনি ১৯৫২ সন এবং ১৯৭১ সনের মধ্যে একটা ঐতিহাসিক সেতুবন্ধন তৈরি করেছেন। সৌভাগ্য এজন্য যে, তিনি ৯ মাস যুদ্ধের সূচনাকাল থেকে যুদ্ধ সমাপ্তি অর্থাৎ জাতির বিজয় প্রত্যক্ষ করেছেন। আমাদের এবং আগামী প্রজন্মের সৌভাগ্য যে, মুক্তিযুদ্ধের প্রত্যক্ষদর্শী এবং রণাঙ্গনের সম্মুখ যুদ্ধে অংশগ্রহণকারীর নিখুঁত বর্ণনা সংবলিত একটা দলিল এই গ্রন্থটি। ব্যক্তিগত সংগ্রহে রাখার মতাে লেখা বস্তুনিষ্ঠ একটা প্রামাণ্য ইতিহাস।",35,486
